,addr,Latitude,Longitude,bath,beds,city,state,house_type,price,zip,walk,drive
0,2353 Sidney St #2,40.42938,-79.97114,2.0,4,Pittsburgh,PA,APARTMENT,2700,15203,1.7223322667027339,2.5552639633000003
1,441 Edgemont St #2,40.4226,-79.99888,1.0,2,Mt Washington,PA,APARTMENT,1200,15211,3.2257507649155612,5.0924460305
2,200 S 15th St,40.424866,-79.98344,1.5,3,Pittsburgh,PA,SINGLE_FAMILY,1500,15203,2.436547425566753,4.6326936276
3,5317 Forbes Ave,40.440155,-79.93494,2.0,4,Pittsburgh,PA,SINGLE_FAMILY,3760,15217,0.5257123398954898,1.3108442616
4,4711 Maripoe St #1,40.455498,-79.94967,1.0,1,Pittsburgh,PA,APARTMENT,850,15213,0.8927373302864655,1.2556043797
5,1625 Hybla St,40.474262,-80.03797,1.0,3,Pittsburgh,PA,SINGLE_FAMILY,1100,15212,5.392645937806259,7.292782878600001
6,3202 Hazelhurst Ave,40.383247,-79.9653,1.0,2,Pittsburgh,PA,SINGLE_FAMILY,1290,15227,4.29283668720137,6.952023022200001
7,4245 Parkman Ave,40.448345,-79.95728,3.0,5,Pittsburgh,PA,SINGLE_FAMILY,4250,15213,0.7807352074792623,1.1738319561
8,1007 Galveston Ave,40.45301,-80.0171,1.5,2,Pittsburgh,PA,TOWNHOUSE,1500,15233,3.9099208792831166,5.296566404
9,11370 Althea Rd,40.46867,-79.8327,2.0,3,Pittsburgh,PA,SINGLE_FAMILY,1400,15235,6.123021931754295,7.5957012411000004
10,333 Lehigh Ave #2,40.45615,-79.9261,2.0,3,Pittsburgh,PA,APARTMENT,2995,15232,1.2956382446321058,2.1641730559
11,1465 Old Steubenville Pike #B,40.45057,-80.1144,1.0,2,Pittsburgh,PA,APARTMENT,1250,15205,8.99520270365474,12.796265825599999
12,223 Carnegie Pl,40.44651,-79.89895,1.0,4,Pittsburgh,PA,SINGLE_FAMILY,2500,15208,2.3863380816244653,3.3301136003000003
13,5541 Beacon St FLOOR 1,40.43421,-79.92899,2.0,3,Pittsburgh,PA,APARTMENT,2475,15217,1.0106941490168222,1.7355513401
14,6116 Stanton Ave,40.4686,-79.91811,2.0,3,Pittsburgh,PA,APARTMENT,1880,15206,2.2164776199391834,3.1331389933000002
15,2801 Larkins Way,40.42531,-79.966675,1.5,3,Pittsburgh,PA,SINGLE_FAMILY,1650,15203,1.722539439664936,2.3030494744000003
16,637 Danbury St,40.468822,-80.01838,1.0,2,Pittsburgh,PA,SINGLE_FAMILY,1300,15214,4.296566945722705,6.674580870700001
17,1806 Rhine St #1804,40.464684,-79.99176,1.5,2,Pittsburgh,PA,APARTMENT,899,15212,2.9168398046111936,4.7197477047
18,4008 Woolslayer Way,40.464664,-79.9574,1.0,4,Pittsburgh,PA,SINGLE_FAMILY,1895,15224,1.6340438388891934,2.2378676565
19,3220 1/2 Hardie Way,40.431488,-79.95587,1.0,2,Pittsburgh,PA,SINGLE_FAMILY,950,15213,1.0268205287199423,1.5576528228000002
20,514 Parallel Ave #2,40.403587,-79.97899,1.0,2,Pittsburgh,PA,APARTMENT,1350,15210,3.302774172503983,5.687781585600001
21,2525 Sarah St APT 6,40.426945,-79.969185,1.0,1,Pittsburgh,PA,APARTMENT,850,15203,1.7416568245122077,2.4532348451
22,230 Clairmont Ave FLOOR 2,40.518166,-80.021194,1.0,2,Pittsburgh,PA,APARTMENT,900,15229,6.573918500188314,8.296545592
23,7708 Westmoreland Ave,40.422935,-79.88332,1.0,3,Pittsburgh,PA,SINGLE_FAMILY,1135,15218,3.495413465735764,6.1426251576
24,2507 Wedgemere St #2,40.396347,-80.02095,1.0,2,Pittsburgh,PA,TOWNHOUSE,1000,15226,5.191604756859864,6.571619696
25,252 Atwood St #1,40.439766,-79.95635,1.0,1,Pittsburgh,PA,APARTMENT,925,15213,0.6940962002920955,1.0030792053
26,1315 Diana St,40.461582,-79.99048,2.0,2,Pittsburgh,PA,SINGLE_FAMILY,1250,15212,2.7545370024422224,5.6632995682
