,bathrooms,bedrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,livingArea,longitude,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,unit,zipcode,zpid,taxAssessedValue,zestimate,datePriceChanged,priceChange,priceReduction
0,2.0,4,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/b248d9fa8d7b5033893d5cace64282ac-p_e.jpg,True,True,False,False,False,False,False,40.42938,1700.0,-79.97114,2700,2700,2062.0,False,PA,2353 Sidney St #2,# 2,15203,2098914984,,,,,
1,1.0,2,Mt Washington,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,https://photos.zillowstatic.com/fp/c89f4243f5817ecab5ea0f8b9f0cf59e-p_e.jpg,False,True,False,False,False,False,False,40.4226,100.0,-79.99888,1200,1200,1134.0,False,PA,441 Edgemont St #2,# 2,15211,2086781605,,,,,
2,1.5,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/53ceaaa899cea2cef095c42d510ce67b-p_e.jpg,True,True,False,False,False,False,False,40.424866,1650.0,-79.98344,1500,1500,1433.0,False,PA,200 S 15th St,,15203,11475209,87400.0,185600.0,,,
3,2.0,4,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/17e09173d09e25b94c6a9c4b617e4e65-p_e.jpg,False,True,False,False,False,False,False,40.440155,1700.0,-79.93494,3760,3760,3349.0,False,PA,5317 Forbes Ave,,15217,11534025,177100.0,515100.0,,,
4,1.0,1,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,APARTMENT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=40.45549774169922,-79.94966888427734&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=VCNq0UlRubg-7tOsMs7xZcKNvYQ=",True,True,False,False,False,False,False,40.455498,,-79.94967,850,850,,False,PA,4711 Maripoe St #1,# 1,15213,2059530905,,,,,
5,1.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ff0c59895d02fecbffe379dff70a8ff6-p_e.jpg,True,True,False,False,False,False,False,40.474262,1320.0,-80.03797,1100,1100,1207.0,False,PA,1625 Hybla St,,15212,11604341,64800.0,145000.0,,,
6,1.0,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/86ddc87e310909badad8cc9423ffa797-p_e.jpg,True,True,False,False,False,False,False,40.383247,1300.0,-79.9653,1290,1290,1125.0,False,PA,3202 Hazelhurst Ave,,15227,11302681,82500.0,162400.0,,,
7,3.0,5,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1beec39a30077491d421ab496b028a45-p_e.jpg,True,True,False,False,False,False,False,40.448345,2888.0,-79.95728,4250,4250,4137.0,False,PA,4245 Parkman Ave,,15213,11407517,354000.0,629700.0,,,
8,1.5,2,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,TOWNHOUSE,https://photos.zillowstatic.com/fp/61ae6156f9b52f4d45d88bf339637dca-p_e.jpg,True,True,False,False,False,False,False,40.45301,1433.0,-80.0171,1500,1500,1622.0,False,PA,1007 Galveston Ave,,15233,11376515,123100.0,240800.0,,,
9,2.0,3,Pittsburgh,USA,USD,0,FOR_RENT,FOR_RENT,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/833b0c10e43f194bf07ff149dd1f197c-p_e.jpg,False,True,False,False,False,False,False,40.46867,912.0,-79.8327,1400,1400,1394.0,False,PA,11370 Althea Rd,,15235,11492124,47200.0,132000.0,,,
